"","Type","RentData","Year","Room","displayText"
"134","Coastal",28.2446835443038,2015,"BED4","2015 BED4"
"135","Inland",26.843963963964,2015,"BED4","2015 BED4"
"136","Average",27.4263684210526,2015,"BED4","2015 BED4"
"137","England",25.1983443708609,2016,"BED4","2016 BED4"
"138","Scotland",25.5582352941176,2016,"BED4","2016 BED4"
"139","Wales",28.1181818181818,2016,"BED4","2016 BED4"
"140","Urban",25.1878947368421,2016,"BED4","2016 BED4"
"141","Rural",25.6638157894737,2016,"BED4","2016 BED4"
"142","Coastal",26.9539240506329,2016,"BED4","2016 BED4"
"143","Inland",24.5827027027027,2016,"BED4","2016 BED4"
"144","Average",25.5686315789474,2016,"BED4","2016 BED4"
"145","England",22.9958940397351,2017,"BED4","2017 BED4"
"146","Scotland",25.6594117647059,2017,"BED4","2017 BED4"
"147","Wales",27.92,2017,"BED4","2017 BED4"
"148","Urban",23.0778947368421,2017,"BED4","2017 BED4"
"149","Rural",23.9859868421053,2017,"BED4","2017 BED4"
"150","Coastal",25.2813924050633,2017,"BED4","2017 BED4"
"151","Inland",22.7531531531532,2017,"BED4","2017 BED4"
"152","Average",23.8043684210526,2017,"BED4","2017 BED4"
"153","England",21.8106622516556,2018,"BED4","2018 BED4"
"154","Scotland",22.9152941176471,2018,"BED4","2018 BED4"
"155","Wales",25.5922727272727,2018,"BED4","2018 BED4"
"156","Urban",21.6455263157895,2018,"BED4","2018 BED4"
"157","Rural",22.5228289473684,2018,"BED4","2018 BED4"
"158","Coastal",23.6508860759494,2018,"BED4","2018 BED4"
"159","Inland",21.4196396396396,2018,"BED4","2018 BED4"
"160","Average",22.3473684210526,2018,"BED4","2018 BED4"
